Stock Take Set,Stock Take Location,Uncertain,DB Match Set,DB Match Location,Match Type,Analysis Notes
8501,Garage - Ebay Used,,8501,Garage - Box Slizers,LOCATION DIFF,Stock take Ebay Used but DB says Box Slizers
8771,Garage - Ebay Used,Y,8771,Garage - Own Box,LOCATION DIFF,Stock take Ebay Used but DB says Own Box - same shelf area
4786,Garage - Ebay Used,,,,,NO MATCH - Not found as eBay LISTED in DB
4731,Garage - Ebay Used,,4731,Garage - Ebay Used,EXACT,Perfect match
4726,Garage - Ebay Used,,4726,Garage - Ebay Used,EXACT,Perfect match
M756,Garage - Ebay Used,Y,,,,NO MATCH - Set number not found (uncertain - was @M756)
6001,Garage - Ebay Used,Y,,,,NO MATCH - Set number not found (uncertain)
5126,Garage - Ebay Used,Y,,,,NO MATCH - Set number not found (uncertain)
8015,Garage - Ebay Used,,8015,Garage - Ebay Used,EXACT,Perfect match
MJ5529,Garage - Ebay Used,Y,,,,NO MATCH - Set number not found (uncertain)
70638,Garage - Ebay Used,,70638,Garage - Ebay Used,EXACT,Perfect match
5866,Garage - Ebay Used,,,,,NO MATCH - Not found as eBay LISTED in DB
7915,Garage - Ebay Used,,7915,Garage - Own Box,LOCATION DIFF,Stock take Ebay Used but DB says Own Box - same shelf area
31048,Garage - Ebay Used,,,,,NO MATCH - Not found as eBay LISTED in DB
60084,Garage - Ebay Used,,,,,NO MATCH - Not found as eBay LISTED in DB
31079,Garage - Ebay Used,,31079,Garage - Own Box,LOCATION DIFF,Stock take Ebay Used but DB says Own Box - same shelf area
201,Garage - 201,Y,,,,NO MATCH - Set number too short (uncertain - old set?)
7694,Garage - 201,,7694,Garage - 201,EXACT,Perfect match
213,Garage - 201,Y,,,,NO MATCH - Set number too short (uncertain - old set?)
253,Garage - 201,,253,Garage - 201,EXACT,Perfect match
41003,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED in DB
SH034,Garage - 201,,SH034,Garage - 201,EXACT,Perfect match
75099,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED in DB
8745,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED in DB
612,Garage - 201,Y,612,Garage - 201,EXACT,Match (uncertain flag)
HP241,Garage - 201,,HP241,Garage - 201,EXACT,Perfect match
644,Garage - 201,Y,,,,NO MATCH - Set number too short (uncertain - old set?)
6471,Garage - 201,,6471,Garage - 201,EXACT,Perfect match
NJO208,Garage - 201,,NJO208,Garage - 201,EXACT,Perfect match
Jack Stone Bundle 4,Garage - 201,,NA,Garage - 201,LIKELY,Jack Stone Bundle matches DB bundle entry
10780,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED in DB
SW1305,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED (Minifigure)
NJO630,Garage - 201,,NJO630,Garage - 201,EXACT,Perfect match
5014,Garage - 201,,5014,Garage - 201,EXACT,Perfect match
60006,Garage - 201,,60006,Garage - 201,EXACT,Perfect match (x2 in DB)
6228,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED in DB
HP Bundle 4,Garage - 201,,NA,Garage - 201,LIKELY,HP Bundle matches DB HP Minifigure Bundle
SW514,Garage - 201,,,,,NO MATCH - Not found as eBay LISTED (Minifigure)
SH228,Garage - 201,,SH228,Garage - 201,EXACT,Perfect match
SH034,Garage - 201,,SH034,Garage - 201,EXACT,Duplicate - already matched above
SW871,Garage - 201,,SW871,Garage - 201,EXACT,Perfect match
SW092,Garage - 201,Y,SW0092,Garage - 201,EXACT,Match - format difference SW092 vs SW0092
HP107,Garage - 201,,HP107,Garage - 201,EXACT,Perfect match
HP261,Garage - 201,,HP261,Garage - 201,EXACT,Perfect match
71760,Garage - New Shelf,,71760,Garage,LOCATION DIFF,Stock take New Shelf but DB says Garage (generic) - update DB
40784,Garage - New Shelf,,40784,Garage,LOCATION DIFF,Stock take New Shelf but DB says Garage (generic) - update DB
60085,Garage - New Shelf,,60085,Garage,LOCATION DIFF,Stock take New Shelf but DB says Garage (generic) - update DB
7741,Garage - New Shelf,,,,,NO MATCH - Listed on Amazon not eBay
40685,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40567,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40659,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40371,Garage - New Shelf,,,,,NO MATCH - Listed on Amazon not eBay
40686,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
40581,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
60283,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40651,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
40530,Garage - New Shelf,,,,,NO MATCH - Listed on Amazon not eBay (1 listed at Loft)
9496,Garage - New Shelf,,,,,NO MATCH - Listed but no platform assigned in DB
40609,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40675,Garage - New Shelf,,,,,NO MATCH - BACKLOG status not LISTED
40680,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40689,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40684,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
40346,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
40683,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40687,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40682,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
40676,Garage - New Shelf,,,,,NO MATCH - BACKLOG status not LISTED
40568,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
40650,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB
311420,Garage - New Shelf,,,,,NO MATCH - Listed but no platform assigned in DB
42169,Garage - New Shelf,,,,,NO MATCH - SOLD on eBay in DB
75388,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
75361,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
76293,Garage - New Shelf,,,,,NO MATCH - Not found in DB at all
853946,Garage - New Shelf,,,,,NO MATCH - All SOLD in DB (Qty: 2 in stock take)
MAGNET STAND,Garage - New Shelf,,,,,NO MATCH - Could be 5008907/08/09 but all SOLD
40491,Garage - New Shelf,,40491,Loft - S20,LOCATION DIFF,Stock take New Shelf but DB says Loft - S20 (Qty: 2)
75344,Garage - New Shelf,,75344,Loft - S57,LOCATION DIFF,Stock take New Shelf but DB says Loft - S57
75299,Garage - New Shelf,,75299,Garage,LOCATION DIFF,Stock take New Shelf but DB has one at Garage and one at Loft (Qty: 2)
